Date,Open,High,Low,Close,% Change,% Change vs Average,Volume
2023-05-08T17:01:00.000Z,4133.00,4133.48,4132.85,4133.03,0,0,3587893
2023-05-08T17:02:00.000Z,4133.01,4133.02,4132.13,4132.19,-0.02,-0.02,3265052
2023-05-08T17:03:00.000Z,4132.23,4132.87,4132.18,4132.80,0.01,0.01,2873074
2023-05-08T17:04:00.000Z,4132.82,4132.82,4132.02,4132.33,-0.01,-0.01,3377849
2023-05-08T17:05:00.000Z,4132.30,4132.33,4131.79,4131.91,-0.01,-0.01,3718264
2023-05-08T17:06:00.000Z,4131.88,4132.35,4131.33,4132.35,0.01,0.01,3744778
2023-05-08T17:07:00.000Z,4132.35,4133.02,4132.34,4132.95,0.01,0.01,2880000
2023-05-08T17:08:00.000Z,4132.91,4133.07,4132.64,4133.00,0,0,2894000
2023-05-08T17:09:00.000Z,4133.16,4133.59,4133.07,4133.44,0.01,0.01,2494000
2023-05-08T17:10:00.000Z,4133.32,4134.31,4133.27,4134.14,0.02,0.02,2915000
2023-05-08T17:11:00.000Z,4134.15,4134.29,4133.63,4134.29,0,0,3371000
2023-05-08T17:12:00.000Z,4134.34,4134.98,4134.26,4134.96,0.02,0.02,3272000
2023-05-08T17:13:00.000Z,4134.92,4135.26,4134.86,4135.05,0,0,3483000
2023-05-08T17:14:00.000Z,4135.07,4135.07,4134.57,4134.80,-0.01,-0.01,3084000
2023-05-08T17:15:00.000Z,4134.79,4135.09,4134.79,4134.92,0,0,3356000
2023-05-08T17:16:00.000Z,4134.99,4135.18,4134.54,4135.09,0,0,3388000
2023-05-08T17:17:00.000Z,4135.10,4135.10,4134.59,4134.80,-0.01,-0.01,2805000
2023-05-08T17:18:00.000Z,4134.83,4135.14,4134.66,4135.04,0.01,0.01,3378000
2023-05-08T17:19:00.000Z,4135.04,4135.15,4134.79,4134.94,0,0,2713000
2023-05-08T17:20:00.000Z,4134.93,4135.31,4134.80,4135.20,0.01,0.01,2798000
2023-05-08T17:21:00.000Z,4135.18,4135.97,4134.97,4135.00,0,0,5115000
2023-05-08T17:22:00.000Z,4135.06,4135.97,4135.02,4135.92,0.02,0.02,2432000
2023-05-08T17:23:00.000Z,4136.00,4136.00,4134.76,4134.89,-0.02,-0.03,2679000
2023-05-08T17:24:00.000Z,4135.01,4135.02,4133.94,4134.22,-0.02,-0.02,3180000
2023-05-08T17:25:00.000Z,4134.25,4135.31,4134.25,4135.15,0.02,0.02,3224000
2023-05-08T17:26:00.000Z,4135.12,4135.70,4135.08,4135.09,0,0,2341000
2023-05-08T17:27:00.000Z,4135.13,4135.35,4134.72,4135.04,0,0,2718000
2023-05-08T17:28:00.000Z,4134.99,4134.99,4134.18,4134.44,-0.01,-0.01,3526000
2023-05-08T17:29:00.000Z,4134.46,4134.88,4134.42,4134.61,0,0,2898000
2023-05-08T17:30:00.000Z,4134.62,4135.93,4134.62,4135.93,0.03,0.03,3638000
2023-05-08T17:31:00.000Z,4135.94,4136.65,4135.79,4136.47,0.01,0.01,3229000
2023-05-08T17:32:00.000Z,4136.48,4137.05,4136.38,4136.91,0.01,0.01,3209000
2023-05-08T17:33:00.000Z,4136.92,4137.45,4136.90,4137.21,0.01,0.01,4603000
2023-05-08T17:34:00.000Z,4137.19,4137.19,4136.74,4136.85,-0.01,-0.01,3031000
2023-05-08T17:35:00.000Z,4136.84,4137.30,4136.69,4136.69,0,0,3207000
2023-05-08T17:36:00.000Z,4136.67,4137.22,4136.21,4137.15,0.01,0.01,3931000
2023-05-08T17:37:00.000Z,4137.16,4137.16,4136.28,4136.28,-0.02,-0.02,2866000
2023-05-08T17:38:00.000Z,4136.28,4136.53,4136.01,4136.53,0.01,0.01,3211000
2023-05-08T17:39:00.000Z,4136.52,4137.82,4136.52,4137.80,0.03,0.03,4065000
2023-05-08T17:40:00.000Z,4137.80,4138.13,4137.58,4137.58,-0.01,-0.01,3738000
2023-05-08T17:41:00.000Z,4137.60,4137.69,4137.19,4137.50,0,0,3417000
2023-05-08T17:42:00.000Z,4137.44,4137.44,4136.88,4136.93,-0.01,-0.01,3154000
2023-05-08T17:43:00.000Z,4136.90,4136.90,4136.15,4136.88,0,0,3554000
2023-05-08T17:44:00.000Z,4136.90,4137.52,4136.90,4137.15,0.01,0.01,3139000
2023-05-08T17:45:00.000Z,4137.16,4137.36,4136.95,4137.21,0,0,3623000
2023-05-08T17:46:00.000Z,4137.23,4138.92,4137.23,4138.91,0.04,0.04,4332000
2023-05-08T17:47:00.000Z,4138.94,4139.24,4138.40,4138.67,-0.01,-0.01,3810000
2023-05-08T17:48:00.000Z,4138.64,4138.73,4138.25,4138.72,0,0,3415000
2023-05-08T17:49:00.000Z,4138.70,4138.83,4138.38,4138.38,-0.01,-0.01,3157000
2023-05-08T17:50:00.000Z,4138.38,4138.38,4137.78,4137.78,-0.01,-0.01,3437000
2023-05-08T17:51:00.000Z,4137.79,4137.99,4137.36,4137.99,0.01,0,3322000
2023-05-08T17:52:00.000Z,4137.95,4138.56,4137.93,4138.10,0,0,3407000
2023-05-08T17:53:00.000Z,4138.10,4138.10,4137.49,4137.78,-0.01,-0.01,2780000
2023-05-08T17:54:00.000Z,4137.77,4138.09,4137.58,4137.59,0,0,2708000
2023-05-08T17:55:00.000Z,4137.58,4137.97,4137.21,4137.97,0.01,0.01,3478000
2023-05-08T17:56:00.000Z,4137.94,4138.23,4137.69,4138.12,0,0,2667000
2023-05-08T17:57:00.000Z,4138.15,4138.35,4137.77,4137.77,-0.01,-0.01,2723000
2023-05-08T17:58:00.000Z,4137.78,4138.32,4137.62,4138.31,0.01,0.01,3095000
2023-05-08T17:59:00.000Z,4138.33,4138.52,4137.83,4137.89,-0.01,-0.01,3221000
2023-05-08T18:00:00.000Z,4137.88,4139.28,4137.88,4139.00,0.03,0.03,4255000
2023-05-08T18:01:00.000Z,4139.11,4139.81,4139.06,4139.81,0.02,0.02,3893000
2023-05-08T18:02:00.000Z,4139.83,4139.87,4139.08,4139.26,-0.01,-0.01,3843000
2023-05-08T18:03:00.000Z,4139.28,4139.33,4138.17,4138.29,-0.02,-0.02,4308000
2023-05-08T18:04:00.000Z,4138.30,4138.31,4135.89,4136.19,-0.05,-0.05,5341000
2023-05-08T18:05:00.000Z,4136.21,4136.21,4135.45,4135.62,-0.01,-0.01,3836000
2023-05-08T18:06:00.000Z,4135.77,4136.01,4133.30,4133.32,-0.06,-0.06,4816000
2023-05-08T18:07:00.000Z,4133.33,4133.43,4125.88,4125.98,-0.18,-0.18,10767000
2023-05-08T18:08:00.000Z,4125.88,4126.51,4123.81,4126.51,0.01,0.01,5742000
2023-05-08T18:09:00.000Z,4126.56,4128.54,4126.54,4127.87,0.03,0.03,3928000
2023-05-08T18:10:00.000Z,4127.72,4127.93,4126.67,4126.94,-0.02,-0.02,3669000
2023-05-08T18:11:00.000Z,4126.93,4128.54,4126.93,4128.54,0.04,0.04,3892000
2023-05-08T18:12:00.000Z,4128.62,4131.31,4128.62,4130.61,0.05,0.05,5781000
